type,montant,compteSource,sourceAvant,sourceApres,compteDist,distAvant,distApres,isFraud
TRANSFER,290211.26,C276602564,290211.26,0.0,C58143708,0.0,0.0,1
TRANSFER,178344.25,C1280852753,178344.25,0.0,C461887553,0.0,0.0,1
CASH_OUT,1023189.9,C1057733607,1023189.9,0.0,C385233047,66259.25,1089449.14,1
TRANSFER,592615.53,C366677925,592615.53,0.0,C1433310823,0.0,0.0,1
PAYMENT,2632.63,C183500200,0.0,0.0,M1765700212,0.0,0.0,0
CASH_IN,60402.09,C113413524,3130888.26,3191290.35,C105834049,1951371.89,1890969.8,0
CASH_OUT,152097.84,C1978501596,0.0,0.0,C1937322225,340360.5,492458.34,0
CASH_IN,251107.86,C24724881,398483.0,649590.86,C964775275,542145.05,291037.19,0
CASH_OUT,75734.99,C109260257,75734.99,0.0,C2020337583,3474246.35,3549981.33,0
TRANSFER,493.28,C1723063411,493.28,0.0,C1565674952,0.0,0.0,1
PAYMENT,34185.61,C1512170440,7253.0,0.0,M420143361,0.0,0.0,0
CASH_OUT,451399.66,C1511096245,451399.66,0.0,C544317728,215513.02,666912.68,1
CASH_OUT,371020.35,C1595180363,121994.0,0.0,C917919815,191338.8,562359.15,0
CASH_OUT,207261.07,C1856398520,207261.07,0.0,C1898820013,48221.7,255482.77,0
TRANSFER,1467987.57,C2035870900,1467987.57,0.0,C1336055115,0.0,0.0,1
TRANSFER,1212259.76,C369027158,0.0,0.0,C1788253801,1599697.89,2811957.65,0
TRANSFER,19421.77,C499057718,19421.77,0.0,C1899051151,0.0,0.0,1
CASH_OUT,844213.81,C1857315735,844213.81,0.0,C541525278,0.0,844213.81,1
CASH_OUT,238188.01,C227522091,68284.0,0.0,C961243143,133983.8,372171.81,0
CASH_OUT,236914.77,C1406154490,236914.77,0.0,C423223953,175716.84,412631.61,1
TRANSFER,10000000.0,C395312314,31343002.08,21343002.08,C554878096,0.0,0.0,1
TRANSFER,342988.79,C1522760202,342988.79,0.0,C509783164,0.0,0.0,1
PAYMENT,10124.39,C712250859,0.0,0.0,M1357641979,0.0,0.0,0
CASH_OUT,93561.29,C1359097606,909.0,0.0,C541801717,0.0,93561.29,0
CASH_OUT,50523.78,C1711085884,50523.78,0.0,C1148781766,0.0,50523.78,0
TRANSFER,1889351.63,C1587077521,1889351.63,0.0,C1055395176,0.0,0.0,1
PAYMENT,36505.02,C1146819885,0.0,0.0,M1497900975,0.0,0.0,0
TRANSFER,22117.99,C862057815,22117.99,0.0,C1962362775,0.0,0.0,1
TRANSFER,677503.25,C1439879444,677503.25,0.0,C1677398142,0.0,0.0,1
CASH_OUT,2562459.56,C1439743203,2562459.56,0.0,C1986745369,0.0,2562459.56,1
TRANSFER,1313799.57,C808322342,5526.0,0.0,C1293213583,0.0,746498.72,0
TRANSFER,98533.36,C158107146,98533.36,0.0,C1790666216,0.0,0.0,1
CASH_IN,43380.45,C325085045,4716479.54,4759859.99,C1278403685,124947.11,81566.66,0
